annee,parametre,entite_geo,indicateur,valeur
2006,Orthophosp,FRF_LITT,indic_b100,"0,2873269635"
2007,Orthophosp,FRF_LITT,indic_b100,"0,4571197778"
2008,Orthophosp,FRF_LITT,indic_b100,"0,2179322521"
2009,Orthophosp,FRF_LITT,indic_b100,"0,3023039904"
2010,Orthophosp,FRF_LITT,indic_b100,"0,3655135151"
2011,Orthophosp,FRF_LITT,indic_b100,"0,1727670406"
2012,Orthophosp,FRF_LITT,indic_b100,"0,2530369259"
2013,Orthophosp,FRF_LITT,indic_b100,"0,2134252561"
2014,Orthophosp,FRF_LITT,indic_b100,"0,2244489411"
2015,Orthophosp,FRF_LITT,indic_b100,"0,13761918"
2016,Orthophosp,FRF_LITT,indic_b100,"0,4084730013"
2017,Orthophosp,FRF_LITT,indic_b100,"0,264460637"
2018,Orthophosp,FRF_LITT,indic_b100,"0,2627155407"
1971,Orthophosp,FRF_DORD,indic_b100,"0,7522855899"
1972,Orthophosp,FRF_DORD,indic_b100,"1,1977818854"
1973,Orthophosp,FRF_DORD,indic_b100,"0,8952515646"
1974,Orthophosp,FRF_DORD,indic_b100,"1,0741258741"
1975,Orthophosp,FRF_DORD,indic_b100,1
1976,Orthophosp,FRF_DORD,indic_b100,"1,7181372549"
1977,Orthophosp,FRF_DORD,indic_b100,"1,1242015614"
1978,Orthophosp,FRF_DORD,indic_b100,"0,9118873126"
1979,Orthophosp,FRF_DORD,indic_b100,"1,1213592233"
1980,Orthophosp,FRF_DORD,indic_b100,"1,0108310972"
1981,Orthophosp,FRF_DORD,indic_b100,"1,1793548067"
1982,Orthophosp,FRF_DORD,indic_b100,"1,3404255319"
1983,Orthophosp,FRF_DORD,indic_b100,"0,7875049654"
1984,Orthophosp,FRF_DORD,indic_b100,"0,8357668911"
1985,Orthophosp,FRF_DORD,indic_b100,"0,5448162275"
1986,Orthophosp,FRF_DORD,indic_b100,"0,6574897979"
1987,Orthophosp,FRF_DORD,indic_b100,"1,0188005391"
1988,Orthophosp,FRF_DORD,indic_b100,"0,842815027"
1989,Orthophosp,FRF_DORD,indic_b100,"1,1514718966"
1990,Orthophosp,FRF_DORD,indic_b100,"1,2448824042"
1991,Orthophosp,FRF_DORD,indic_b100,"0,856440377"
1992,Orthophosp,FRF_DORD,indic_b100,"0,597118573"
1993,Orthophosp,FRF_DORD,indic_b100,"0,563724899"
1994,Orthophosp,FRF_DORD,indic_b100,"0,4844032353"
1995,Orthophosp,FRF_DORD,indic_b100,"0,6891157726"
1996,Orthophosp,FRF_DORD,indic_b100,"0,7764468931"
1997,Orthophosp,FRF_DORD,indic_b100,"0,4550766122"
1998,Orthophosp,FRF_DORD,indic_b100,"0,462652181"
1999,Orthophosp,FRF_DORD,indic_b100,"0,3925660886"
2000,Orthophosp,FRF_DORD,indic_b100,"0,5124223602"
2001,Orthophosp,FRF_DORD,indic_b100,"0,2853742425"
2002,Orthophosp,FRF_DORD,indic_b100,"0,3666666667"
2003,Orthophosp,FRF_DORD,indic_b100,"0,456097561"
2004,Orthophosp,FRF_DORD,indic_b100,"0,314141325"
2005,Orthophosp,FRF_DORD,indic_b100,"0,4148062902"
2006,Orthophosp,FRF_DORD,indic_b100,"0,3767559705"
2007,Orthophosp,FRF_DORD,indic_b100,"0,4288354845"
2008,Orthophosp,FRF_DORD,indic_b100,"0,2905251952"
2009,Orthophosp,FRF_DORD,indic_b100,"0,3462658431"
2010,Orthophosp,FRF_DORD,indic_b100,"0,3597308489"
2011,Orthophosp,FRF_DORD,indic_b100,"0,3563848318"
2012,Orthophosp,FRF_DORD,indic_b100,"0,2170617457"
2013,Orthophosp,FRF_DORD,indic_b100,"0,24136625"
2014,Orthophosp,FRF_DORD,indic_b100,"0,2973803628"
2015,Orthophosp,FRF_DORD,indic_b100,"0,2670047479"
2016,Orthophosp,FRF_DORD,indic_b100,"0,2478435544"
2017,Orthophosp,FRF_DORD,indic_b100,"0,2559354754"
2018,Orthophosp,FRF_DORD,indic_b100,"0,3613915244"
1971,Orthophosp,FRF_GARO,indic_b100,"1,4074324097"
1972,Orthophosp,FRF_GARO,indic_b100,"0,9887640449"
1973,Orthophosp,FRF_GARO,indic_b100,"0,778021978"
1974,Orthophosp,FRF_GARO,indic_b100,"0,7274307877"
1975,Orthophosp,FRF_GARO,indic_b100,1
1976,Orthophosp,FRF_GARO,indic_b100,"0,739407565"
1977,Orthophosp,FRF_GARO,indic_b100,"0,6774644367"
1978,Orthophosp,FRF_GARO,indic_b100,"0,6171006067"
1979,Orthophosp,FRF_GARO,indic_b100,"0,9264130519"
1980,Orthophosp,FRF_GARO,indic_b100,"0,9029239766"
1981,Orthophosp,FRF_GARO,indic_b100,"0,781377527"
1982,Orthophosp,FRF_GARO,indic_b100,"1,1756561522"
1983,Orthophosp,FRF_GARO,indic_b100,"0,8227482679"
1984,Orthophosp,FRF_GARO,indic_b100,"0,859375"
1985,Orthophosp,FRF_GARO,indic_b100,"0,6025764508"
1986,Orthophosp,FRF_GARO,indic_b100,"0,6741573034"
1987,Orthophosp,FRF_GARO,indic_b100,"1,0178571429"
