geo,parametre,type_indic,seq_annee,lb_annee,i_b100
FRF_LOT,Orthophosp,indic_b100,1970-1975,1970,100
FRF_TARN,Orthophosp,indic_b100,1970-1975,1970,100
09,DBO5,indic_b100,1975-1980,1975,"101,2"
12,DBO5,indic_b100,1975-1980,1975,"63,4"
15,DBO5,indic_b100,1975-1980,1975,"74,8"
16,DBO5,indic_b100,1975-1980,1975,"50,6"
17,DBO5,indic_b100,1975-1980,1975,"78,8"
19,DBO5,indic_b100,1975-1980,1975,"85,4"
24,DBO5,indic_b100,1975-1980,1975,"74,6"
31,DBO5,indic_b100,1975-1980,1975,"64,4"
32,DBO5,indic_b100,1975-1980,1975,59
33,DBO5,indic_b100,1975-1980,1975,67
40,DBO5,indic_b100,1975-1980,1975,"77,2"
46,DBO5,indic_b100,1975-1980,1975,"75,8"
47,DBO5,indic_b100,1975-1980,1975,"50,2"
48,DBO5,indic_b100,1975-1980,1975,55
64,DBO5,indic_b100,1975-1980,1975,"71,2"
65,DBO5,indic_b100,1975-1980,1975,52
79,DBO5,indic_b100,1975-1980,1975,"96,4"
81,DBO5,indic_b100,1975-1980,1975,"60,8"
82,DBO5,indic_b100,1975-1980,1975,"64,6"
bag,DBO5,indic_b100,1975-1980,1975,"64,8"
FRF_ADOU,DBO5,indic_b100,1975-1980,1975,"73,6"
FRF_CHAR,DBO5,indic_b100,1975-1980,1975,"56,6"
FRF_DORD,DBO5,indic_b100,1975-1980,1975,"77,6"
FRF_GARO,DBO5,indic_b100,1975-1980,1975,"61,8"
FRF_LITT,DBO5,indic_b100,1975-1980,1975,"70,4"
FRF_LOT,DBO5,indic_b100,1975-1980,1975,"57,6"
FRF_TARN,DBO5,indic_b100,1975-1980,1975,60
09,NH4+,indic_b100,1975-1980,1975,"95,8"
12,NH4+,indic_b100,1975-1980,1975,"98,2"
15,NH4+,indic_b100,1975-1980,1975,"118,4"
16,NH4+,indic_b100,1975-1980,1975,"71,2"
17,NH4+,indic_b100,1975-1980,1975,"87,8"
19,NH4+,indic_b100,1975-1980,1975,"65,4"
24,NH4+,indic_b100,1975-1980,1975,"56,2"
31,NH4+,indic_b100,1975-1980,1975,"75,2"
32,NH4+,indic_b100,1975-1980,1975,"36,8"
33,NH4+,indic_b100,1975-1980,1975,51
40,NH4+,indic_b100,1975-1980,1975,"98,6"
46,NH4+,indic_b100,1975-1980,1975,"108,6"
47,NH4+,indic_b100,1975-1980,1975,"56,8"
48,NH4+,indic_b100,1975-1980,1975,68
64,NH4+,indic_b100,1975-1980,1975,"153,6"
65,NH4+,indic_b100,1975-1980,1975,"81,6"
79,NH4+,indic_b100,1975-1980,1975,"205,6"
81,NH4+,indic_b100,1975-1980,1975,"62,6"
82,NH4+,indic_b100,1975-1980,1975,"57,2"
bag,NH4+,indic_b100,1975-1980,1975,"70,8"
FRF_ADOU,NH4+,indic_b100,1975-1980,1975,"123,2"
FRF_CHAR,NH4+,indic_b100,1975-1980,1975,"78,4"
FRF_DORD,NH4+,indic_b100,1975-1980,1975,"60,8"
FRF_GARO,NH4+,indic_b100,1975-1980,1975,62
FRF_LITT,NH4+,indic_b100,1975-1980,1975,"120,4"
FRF_LOT,NH4+,indic_b100,1975-1980,1975,"88,2"
FRF_TARN,NH4+,indic_b100,1975-1980,1975,"61,6"
09,NO3-,indic_b100,1975-1980,1975,"102,4"
12,NO3-,indic_b100,1975-1980,1975,"108,2"
15,NO3-,indic_b100,1975-1980,1975,115
16,NO3-,indic_b100,1975-1980,1975,172
17,NO3-,indic_b100,1975-1980,1975,"158,2"
19,NO3-,indic_b100,1975-1980,1975,131
24,NO3-,indic_b100,1975-1980,1975,"123,4"
31,NO3-,indic_b100,1975-1980,1975,"114,8"
32,NO3-,indic_b100,1975-1980,1975,"123,8"
33,NO3-,indic_b100,1975-1980,1975,"123,6"
40,NO3-,indic_b100,1975-1980,1975,"141,6"
46,NO3-,indic_b100,1975-1980,1975,"114,6"
47,NO3-,indic_b100,1975-1980,1975,"126,2"
48,NO3-,indic_b100,1975-1980,1975,115
64,NO3-,indic_b100,1975-1980,1975,"107,2"
65,NO3-,indic_b100,1975-1980,1975,"80,6"
79,NO3-,indic_b100,1975-1980,1975,"161,8"
81,NO3-,indic_b100,1975-1980,1975,"111,4"
82,NO3-,indic_b100,1975-1980,1975,"125,8"
bag,NO3-,indic_b100,1975-1980,1975,"118,8"
FRF_ADOU,NO3-,indic_b100,1975-1980,1975,"125,2"
FRF_CHAR,NO3-,indic_b100,1975-1980,1975,154
FRF_DORD,NO3-,indic_b100,1975-1980,1975,"125,4"
FRF_GARO,NO3-,indic_b100,1975-1980,1975,"108,6"
FRF_LITT,NO3-,indic_b100,1975-1980,1975,"133,6"
FRF_LOT,NO3-,indic_b100,1975-1980,1975,113
FRF_TARN,NO3-,indic_b100,1975-1980,1975,113
09,Orthophosp,indic_b100,1975-1980,1975,141
12,Orthophosp,indic_b100,1975-1980,1975,"98,8"
15,Orthophosp,indic_b100,1975-1980,1975,"133,4"
16,Orthophosp,indic_b100,1975-1980,1975,86
17,Orthophosp,indic_b100,1975-1980,1975,83
19,Orthophosp,indic_b100,1975-1980,1975,146
